unix,date,symbol,open,high,low,close,Volume AGLD,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1664064000000,2022-09-25 00:00:00,AGLD/USDT,0.3377,0.3377,0.3377,0.3377,99.99999416,296.1208,99.99999416,296.1208,1,0.3377
1663977600000,2022-09-24 00:00:00,AGLD/USDT,0.3287,0.3295,0.3286,0.3295,494.41330476,1503.6522,72.83712825,221.0535,7,0.328808540739772465
1663891200000,2022-09-23 00:00:00,AGLD/USDT,0.32,0.3279,0.32,0.3269,613.07252044,1885.172,613.07252044,1885.172,12,0.325247089923168108
1663804800000,2022-09-22 00:00:00,AGLD/USDT,0.3143,0.3143,0.3133,0.3133,287.20627376,914.3072,287.20627376,914.3072,6,0.314124940685655027
1663718400000,2022-09-21 00:00:00,AGLD/USDT,0.3055,0.3146,0.3055,0.3119,53.225885,170.6944,53.225885,170.6944,3,0.311823080157107768
1663632000000,2022-09-20 00:00:00,AGLD/USDT,0.3133,0.3432,0.0302,0.3055,248.52621478,1126.3558,73.77655844,241.1349,8,0.295299153701229519
1663545600000,2022-09-19 00:00:00,AGLD/USDT,0.3484,0.3484,0.3484,0.3484,0,0,0,0,0,0.3484
1663459200000,2022-09-18 00:00:00,AGLD/USDT,0.3484,0.3484,0.3484,0.3484,0,0,0,0,0,0.3484
1663372800000,2022-09-17 00:00:00,AGLD/USDT,0.3484,0.3484,0.3484,0.3484,0,0,0,0,0,0.3484
1663286400000,2022-09-16 00:00:00,AGLD/USDT,0.3484,0.3484,0.3484,0.3484,0.76114948,2.1847,0,0,1,0.3484
1663200000000,2022-09-15 00:00:00,AGLD/USDT,0.3601,0.3601,0.3437,0.3437,624.25878777,1753.7624,0,0,3,0.356095188894787161
1663113600000,2022-09-14 00:00:00,AGLD/USDT,0.4029,0.4029,0.3922,0.3922,178.94943207,445.9359,14.4361206,36.6399,5,0.401322781922126498
1663027200000,2022-09-13 00:00:00,AGLD/USDT,0.4018,0.4018,0.4018,0.4018,0,0,0,0,0,0.4018
1662940800000,2022-09-12 00:00:00,AGLD/USDT,0.4018,0.4018,0.4018,0.4018,153.61107314,382.3073,0,0,1,0.4018
1662854400000,2022-09-11 00:00:00,AGLD/USDT,0.4133,0.4241,0.4133,0.4241,502.66918556,1186.3522,447.18961873,1055.0401,7,0.423713297900217521
1662768000000,2022-09-10 00:00:00,AGLD/USDT,0.4184,0.4184,0.4108,0.4108,82.66775483,199.7297,33.85688616,80.9199,5,0.413931510202440561
1662681600000,2022-09-09 00:00:00,AGLD/USDT,0.368,0.4124,0.368,0.4124,24.48970036,61.9766,15.62579476,37.8899,2,0.396329676441333151
1662595200000,2022-09-08 00:00:00,AGLD/USDT,0.457,0.4999,0.1016,0.4008,246.06882949,627.0171,23.09743247,54.2104,12,0.408237127923345409
1662508800000,2022-09-07 00:00:00,AGLD/USDT,0.3901,0.3901,0.3901,0.3901,0,0,0,0,0,0.394535594074102279
1662422400000,2022-09-06 00:00:00,AGLD/USDT,0.396,0.396,0.3871,0.3901,23.66535344,59.9864,21.2729206,53.806,3,0.394535594074102279
